,count,mean,std,min,25%,50%,75%,max
Project 215,144.0,56746.11464444566,61712.921631423545,50.59184603360854,17474.648786229962,34335.45354508536,72804.16160468277,369245.3703723603
Project 216,144.0,49932.937078535935,47951.23968537505,805.969672054956,11856.921243117504,34373.36165102274,72023.65931208133,230990.85666201133
Project 217,144.0,54272.84064459722,58271.84214913884,387.4158026864853,17257.05930948216,40811.238856966454,71651.47610048507,311380.17719267454
Project 218,144.0,51269.75008707013,44689.96971378664,106.5809017386368,17536.99920685942,38314.14275306389,76324.71218125749,236290.68542972894
Project 219,144.0,51136.874534173374,49542.03715853221,116.98123831816999,17610.129543214047,36940.17423494305,64369.13507793393,273028.3452932471
Project 220,144.0,52825.34094140786,52968.666354802925,878.2618006946227,17099.25529846771,37942.57291966315,70825.98314080911,282197.3214614741
Project 221,144.0,45585.48023868425,48381.57485439254,193.67559286028683,12002.263508378206,30877.46054454587,60872.7584889594,364662.23721343407
Project 222,144.0,54638.19089623939,56638.346670911495,23.699651151142227,12659.687081902113,41356.56241000547,78426.10337303173,282059.7625131282
Project 223,144.0,51103.630519326776,51824.684502332035,236.67868791865186,14503.232272689325,31728.99602492016,67423.6966351675,313521.71241010394
Project 224,144.0,42653.133217701914,38156.41621119658,23.477278221466808,14756.069280098309,31500.47961736199,61245.86182040472,189204.039338677
Project 225,144.0,47987.47142882138,49419.90971619908,264.69174395567336,14364.732614530532,29896.29145693234,64769.82329772681,276131.347119803
Project 226,144.0,48821.562453652085,53046.0471528672,390.32717262983647,14000.873402433128,32450.50125024991,64525.35662719711,306182.7501926814
Project 227,144.0,51469.12288997276,49654.50140468909,774.0836782465343,12980.628201543272,35514.95724112129,69847.82155555731,215402.2275873283
Project 228,144.0,44953.044861275834,38842.34227819403,3.8110548438547958,17128.850757284115,32334.162956562126,62284.52898921473,194299.3996739129
Project 229,144.0,52163.6755285948,41989.367850923256,564.2804222002211,20576.98461014516,41809.28360406458,75800.82618489445,237454.9358497714
Project 230,144.0,53863.63673290999,56263.008140293605,181.69818304969237,15407.305328487499,33254.91960363283,76984.8637656674,299659.3317459451
Project 231,144.0,52264.75594267111,50543.82125831066,184.86468532748927,14574.392392635016,36485.1166877558,72914.3497607622,267261.2525670771
Project 232,144.0,44709.0011631895,47530.61219587728,41.85341517832864,12187.10417112479,27660.719177565064,57993.242190084,249807.2564167651
Project 233,144.0,53186.057189052095,56426.50987571413,123.22882996226548,13179.357591703083,35241.44510932702,74202.75690458492,378117.4419125076
Project 234,144.0,51544.0049767094,50311.53731462673,288.22281458686865,15299.061086636462,33011.86715405573,80102.05597031258,287841.4663743824
Project 235,144.0,49283.24572001388,53531.05012990041,397.6415571829391,13449.796405003115,32660.111074829503,66161.38031097033,334599.2062918741
Project 236,144.0,49605.57129039155,51196.24597831206,1480.1566189645737,13752.52803118247,35038.49850660535,76570.90689079826,336120.45184714213
Project 237,144.0,53455.13667991579,63771.000127074425,348.58538939543547,14796.334667677,35254.31904970393,62481.70917537573,443837.8024593835
Project 238,144.0,53654.212728310085,51385.53707917244,115.82913492307519,14765.07569681416,37921.676884562534,82115.26147030377,230308.05476735116
Project 239,144.0,54304.66229819242,56871.29584156789,880.4329306891804,16541.570513800973,33391.267507552424,78662.46214145026,274785.2248772625
Project 240,144.0,42710.506232343774,43027.87506128904,56.285980967252684,11639.846121132201,34076.21967222079,58980.00128244663,243278.8445679842
Project 241,144.0,46259.29314689817,47440.2273376591,287.837388847435,13649.634048407084,32614.888118549436,60745.008351197655,243089.27706938641
Project 242,144.0,52349.402159332916,50243.15576600372,197.87938309433537,16907.148482196495,40355.50102553492,72571.29151487391,351304.1864225626
Project 243,144.0,41553.819362715614,40338.8893103117,18.138652182523554,13483.318958958636,29996.209662510926,55793.35308921047,211442.61581143175
Project 244,144.0,58613.1303321952,61215.97732431037,226.09997041562752,14726.162140425211,35364.04729775713,82503.71102193893,288887.0003628572
Project 245,144.0,56128.53129514579,57408.77331965989,659.7924625889525,18957.51395925371,38226.596387027836,72600.0765476144,396765.1229536283
Project 246,144.0,52002.04842708092,48501.49958493421,180.89799367943908,16076.435531007533,37349.01747481672,74538.16025999143,266648.24574987043
Project 247,144.0,52881.724107917435,49935.73963176152,79.49328256883922,15980.562765305183,40444.342654296546,66237.70865893905,262236.01176307444
Project 248,144.0,48754.735517386696,49614.08309948246,239.94774655900997,15525.387693066008,35059.811444331746,63728.081984218356,282436.881801366
Project 249,144.0,50721.40969548356,52684.76297004704,51.56536238473665,17418.034787136792,32793.93730720006,65133.58148167557,306920.6388170685
Project 250,144.0,53294.231153507855,52242.28806787947,194.79819515080766,15882.94549142776,34639.78866507673,75108.08505620109,355439.6152908795
Project 251,144.0,53436.525883422604,49092.65207197349,256.38548151115356,16617.364064178022,40638.64434196535,71527.28459206234,259930.4576684283
Project 252,144.0,51011.53553670712,48824.98717183518,409.8890553322078,15575.974228124825,35078.09295596485,72779.42204909351,244020.09520929397
Project 253,144.0,53918.23471923439,43328.7867279819,567.8521080421393,19209.685417047378,43715.71094128891,80149.641274554,197706.40132461826
Project 254,144.0,47985.46757691801,45242.42079343644,87.05521481851433,14694.904396833117,32386.028441010643,66976.47260783936,204362.21432627155
Project 255,144.0,43504.43264360831,44386.77051496651,219.1865872911913,11895.98937429754,30178.713051442814,58601.64921111375,219428.88938294465
Project 256,144.0,48069.02010625577,38728.20334054464,171.37686076804664,18848.272836472228,38927.79133684433,62999.36687189236,201420.92749038132
Project 257,144.0,49462.0295599187,46454.11524088314,10.060283231199362,14747.643393582426,32780.49601104437,74009.63082430721,263990.2077001785
Project 258,144.0,44580.98075410145,40437.24650290567,182.883327146838,15266.79196319542,31774.72026996735,63633.31846415333,188073.70413402145
Project 259,144.0,49701.10372043213,48521.620471072776,404.3091706323462,16095.42062480899,32301.54938385743,73853.28651432168,251416.16939859293
Project 260,144.0,46598.23041023187,49248.76014751903,668.4703329945332,14075.345978804922,31827.271187906397,58119.91813696237,267842.9674982439
Project 261,144.0,49762.66100553036,53826.727281201995,760.116913402484,13232.851641169571,33361.33731791119,64037.25125197215,363750.1922231425
Project 262,144.0,42040.64836764671,41611.38502733461,1746.855558134213,13602.05964534011,30644.172869349888,51699.367851850926,195240.17981735792
Project 263,144.0,43874.511391523534,41977.28857947617,198.2528975025067,11149.470566472188,31427.190221061024,62353.893386737225,219561.00457998874
Project 264,144.0,49274.72181471597,44414.85852401252,363.60418455213556,15779.57760413858,38919.364906830495,72764.56883514558,249704.0692443218
Project 265,144.0,55231.036616519996,51231.276370520725,380.2502260693997,18334.820703788333,44588.003003563965,73241.53119471166,343043.74982189015
Project 266,144.0,46672.81486036221,42515.14280060182,379.5844677358478,16355.748010884545,33585.91730060409,72081.81927883648,245470.49091841112
Project 267,144.0,54990.87967957836,52419.43810042358,15.06804587478791,15400.581275268301,41980.23325281416,73190.97292478723,272338.8518434773
Project 268,144.0,46577.77615469499,46083.92304308032,207.5451602758117,12897.330760131554,33153.71407037939,66446.21662617674,267284.13825191604
Project 269,144.0,51593.30948795909,47117.41279425596,698.4577376199056,12578.632979325113,37847.56070626719,82444.06986644852,231861.2978451662
Project 270,144.0,51803.93102477683,51364.01246125671,1039.5535145629108,15395.290652721445,35089.88806559624,67756.38394421272,261066.37974509667
Project 271,144.0,48694.115383779776,45533.45116684842,217.2106556369533,16776.070550838933,37038.982595127076,63279.97695132998,238556.30418544798
Project 272,144.0,42601.48632668493,43203.76485620896,27.06920582245781,12309.325248121764,26685.238030788754,69213.89066182738,214470.75655329492
Project 273,144.0,52725.315842180076,51637.478843035926,7.117418116162796,15329.756498541376,37272.8782198948,71368.47073433618,276519.49451033666
Project 274,144.0,48821.05663583093,39761.81818103852,597.4880731926223,18348.2711789225,39543.472889468714,68634.36096496654,212527.65220505084
Project 275,144.0,44003.52153235113,49215.15779617645,874.2375068425428,12852.466853670318,30099.842951954735,56892.6966334825,300569.3640351149
Project 276,144.0,46147.79505510553,44462.655505199575,662.7304983986778,18764.72713180655,33168.380033393405,60168.807265016425,223254.8850032636
Project 277,144.0,48852.45873027742,44943.4202757176,543.6149877878955,17030.377079005568,36619.42856791119,64668.62846889674,237462.34480897614
Project 278,144.0,46163.92281536861,56076.111493697106,653.7768094662973,11177.654309756013,26009.023776172293,63634.18081560878,415669.43112059974
Project 279,144.0,54769.258956284335,47737.5614094415,167.2181923412592,18898.940008064845,38887.04322464015,78666.12075681865,217779.47698671537
Project 280,144.0,53089.63675462735,52748.88398623805,672.7411479119762,16145.885296042738,35097.928950270405,75083.72944526897,288025.4214840948
Project 281,144.0,53912.872214863964,51336.34602655992,657.9160680994926,14924.5025674208,34733.58047940535,78733.89962037539,259800.95097824003
Project 282,144.0,50275.92694295125,54190.86095360838,1108.4616601644952,12027.113571134549,34339.93217083598,68507.46485314213,332132.51874709915
Project 283,144.0,47255.60044603959,42477.7282102789,1205.3990984367829,18040.04727497862,36333.91869814157,65434.77806958565,237160.3620826556
Project 284,144.0,51387.43009611884,60167.74151096449,42.46390574615841,14748.885509597141,33369.19777133763,62052.423754947,416671.8203670196
Project 285,144.0,52229.959074558436,51233.92111462217,167.55481551684096,11709.415253102008,35714.30012794607,82416.23398006952,263933.4499200504
Project 286,144.0,50295.77194793835,51581.573314719884,390.8658932457324,14685.994384072903,33383.201444994746,71409.9933349584,366418.36702738656
Project 287,144.0,53682.344339657575,60821.62884633175,59.634122643738806,15266.504864622262,36610.868341354566,67713.32599771577,432113.0680346473
Project 288,144.0,53775.93918218161,43594.76270780234,659.6677144208207,17492.269292674337,43098.20768744798,75661.0092802929,239469.9396290814
Project 289,144.0,46751.5924298739,51649.003150078635,310.38711915703857,12410.796274317365,31807.14099244469,53905.191153100015,306110.71921168413
Project 290,144.0,49047.92297100933,44543.14282263407,367.79080324830545,18044.12594698415,35806.45074426754,67043.50794384477,236421.84539259487
Project 291,144.0,51899.77874621905,52077.212037280515,529.3793914477634,14742.004399577152,37733.944804832936,64763.9100939294,305990.9963614814
Project 292,144.0,40890.363773801524,38349.50706538487,148.7914768000536,11995.875395757434,29749.27695169644,55708.965081153576,241226.20033542853
Project 293,144.0,54531.56018990599,60876.89933850931,94.88038570587806,13948.928180308762,31529.2705875317,70549.33618534752,302338.01189652615
Project 294,144.0,44019.61902015422,42200.38951888731,198.74929385952433,12714.756907461193,28863.26120982916,69687.01621093084,273225.98307257704
Project 295,144.0,43961.65295230055,40788.56734970824,1035.0112757652962,13266.593986353288,34666.461498573975,60272.45014430203,207373.65926134927
Project 296,144.0,51502.51240333637,56993.952010658664,263.29926690168367,14701.714505550894,32088.965185947403,70506.78224314653,359901.4250145806
Project 297,144.0,49665.31530129825,50349.962265068025,220.44100707136383,13807.392051706951,31564.706301596394,76137.5227485223,294801.7165434573
Project 298,144.0,49172.353573161796,51283.36237836475,107.90558064333837,11566.029528706484,32519.347487235227,73724.25643842245,324920.2138073193
Project 299,144.0,46073.95739912744,41546.25281881469,185.59227514986492,14835.190761313615,31708.438475084324,68681.63312292659,204391.07331557144
Project 300,144.0,45963.3815611359,44554.51333050685,97.27895479115192,14552.383075727805,31731.912844077575,64001.454884842635,257970.2398771824
Project 301,144.0,50355.449269611534,49129.16245461659,104.42798085684633,15869.580407231557,33003.44491792466,75238.73842498928,258865.04680848794
Project 302,144.0,45052.670045036975,44989.51134183704,366.17928300785155,14050.467636988997,33665.16735964546,64596.734796089746,306760.2758287712
Project 303,144.0,43011.02819453708,43183.27542487538,180.67903138660978,12910.886216762681,26829.561983387888,57001.053871344164,213327.75103827871
Project 304,144.0,46818.593987257525,42613.859881045915,545.5969486817423,15702.060890779145,33499.68651174043,63385.45819648708,224165.04266089026
Project 305,144.0,49271.57194093866,45744.82820220794,758.8774750734254,17402.15967685411,31569.606439296145,69275.24981832087,241332.53462178758
Project 306,144.0,46387.45753447796,42309.99638194137,178.24021154382243,13504.438887251856,34959.852498194676,64992.199398136116,166127.7944292779
Project 307,144.0,51941.87636577151,53557.2351741959,38.43277016376121,13212.191555958196,32075.762123078413,79117.79916288228,324422.51134629746
Project 308,144.0,44795.95194964508,44147.11887710905,68.18282396647759,10256.28332853855,30115.44784952724,63595.12083534967,212492.78801742563
Project 309,144.0,50139.28830105474,47492.562635333685,48.94105927841587,14369.118861692592,35623.057004098264,71007.88014213729,248317.6827700554
Project 310,144.0,52208.222688055794,59427.51177487686,9.76180503560006,13335.727354534896,31000.003478647202,75622.02271159927,356308.987265339
Project 311,144.0,41704.499336890374,41657.93894651065,198.3542560339452,14449.777115844745,30859.876770224422,51199.297380370415,282613.6679180173
Project 312,144.0,39659.91042176276,41090.816467356555,645.6377726225043,11357.179930576798,24911.029418731636,54585.36715040452,227228.07236132486
Project 313,144.0,41255.08491582672,33674.09986673656,149.0871506066338,11122.919458433451,32792.676569118914,64280.575272848364,133758.50989859414
Project 314,144.0,46328.32743802156,46420.048283852746,569.6433961153987,13925.380221472926,32736.926239109052,65981.24558417646,285021.3298813617
Project 315,144.0,53518.220871996404,56038.03594026188,10.949600068772385,18134.581662771903,31217.076608518095,72622.024882357,265185.3882256194
Project 316,144.0,61842.362459128955,65595.3978195814,235.33587135405548,18234.73193819185,36080.08092406056,87999.72556237876,363271.44346502644
Project 317,144.0,47722.09815024749,52749.5499974156,272.3311724025114,13391.019314195828,29778.41495658212,59609.75318777119,268674.4043180047
Project 318,144.0,60300.719364656914,68793.12258205902,66.60096273107274,13871.058392027155,39009.16997367444,75456.50223474039,370974.1699218716
Project 319,144.0,56630.03582137774,59956.21288790508,453.09668652750645,14644.077971424143,39731.40644983077,80736.29240276308,329365.8594077781
Project 320,144.0,54376.47374183944,55856.47153452476,129.18969082712553,11501.84964641118,36905.95089165216,80963.57521328011,248957.81632495098
Project 321,144.0,54395.025495914095,53876.216868350704,997.1324093761712,16540.775987856832,38023.28765982996,74207.71175606924,341359.4875773297
Project 322,144.0,52550.17486335715,50692.35204780697,1374.51635054912,15292.959988103074,38053.63298703458,75438.66349182358,273775.69390778616
Project 323,144.0,50593.997614607615,56437.51382209333,345.0208887480319,12011.445962538168,28492.045508278654,69942.12299830167,295470.6251601432
Project 324,144.0,48434.170840969506,44579.91668277066,316.9081839371841,13173.238919181913,33972.80760721245,73511.56830547484,199594.42485378357
Project 325,144.0,55290.074249908175,58162.31264244784,393.4504041540228,17819.60567015006,36581.904533088265,72445.7020044377,292641.34876694524
Project 326,144.0,47452.9012573926,49922.551403015765,486.26562034027967,10923.327000597294,29443.635972165783,68780.57726319955,260499.75649822873
Project 327,144.0,47451.92331273665,52614.23924981601,160.8433922656448,12638.953507315784,30567.625096128908,64541.64193955499,299511.13826514274
Project 328,144.0,50488.07515184007,60556.02663119909,325.80170086605955,14122.912160475338,29868.180061110237,70334.60375565314,391415.97707454086
Project 329,144.0,45985.70627070748,44153.58236966162,172.04339801863122,14026.485659065556,31215.164498887796,68758.67577613032,214378.3250949947
Project 330,144.0,43267.726542869226,45586.015569678806,60.8241561824599,11275.69079078419,26721.425930417718,65164.471788782794,237286.58011510485
Project 331,144.0,48871.70669977842,47776.64886210391,662.7327930585809,14536.834986563663,31498.291173011115,67183.01380505017,223159.69525604617
Project 332,144.0,47601.575292249545,47763.84487720095,130.7121077376437,13727.441285427685,32427.06264861421,68475.42785687809,247848.25331872582
Project 333,144.0,49020.75399188935,46702.00177148954,208.69453235427417,15511.35662417288,38073.27620970691,65003.95861144707,261579.58038255927
Project 334,144.0,48987.70726640615,51198.38413724877,186.7062944360767,12534.360308849455,34058.88679602601,64383.457086871334,303110.5876537689
Project 335,144.0,55689.87066321799,53928.0931814378,246.22230653341387,19294.149076418442,40199.04118476858,69738.56515077726,268371.2601358549
Project 336,144.0,45254.934309360426,49351.69296067845,285.56925198910324,9869.095217068958,25915.24567872341,66792.62295867733,268280.1590810849
Project 337,144.0,40341.96343891529,40582.86778883043,570.5757885665711,11850.084346172007,28527.302801080717,62195.09883442073,264588.9902083551
Project 338,144.0,64330.970003141585,53153.157749603764,330.7865449818671,24177.637301030933,49548.30552833942,89312.02249392556,227930.66580337094
Project 339,144.0,48825.26515207084,41404.23427633361,1104.69698844549,15193.60579767891,40241.814048115106,68336.85360122577,236489.63874606375
Project 340,144.0,54744.80167721272,55285.28558542772,149.0076566794658,14007.197731242097,36492.0760376532,81432.34822282253,300019.84036095464
Project 341,144.0,42906.173658114094,41681.55538230539,395.13514875810074,13194.34421818595,31210.39574649273,54265.079473859805,183443.603917128
Project 342,144.0,47448.293496867176,45299.41461583693,140.91412002737152,13299.521084647185,32572.746491247315,68190.3249520196,221167.0239345037
Project 343,144.0,54042.84625455319,55629.2252244481,15.88755622513185,13704.198822791097,37712.55630680159,71819.91515026531,313771.5600528319
Project 344,144.0,46240.33090167662,44954.082800800556,1623.4887380092562,13384.711712106175,31553.7960008667,61132.34688927402,225045.1383436887
Project 345,144.0,40556.01879455548,41889.69408707832,266.49065093745907,9911.70484381719,25306.547407861835,54214.16947859108,201075.26440085418
Project 346,144.0,48296.47385027381,45227.10818864335,267.69622983450773,16136.490324291812,37691.35031582465,63093.970524610726,243903.69310743798
Project 347,144.0,47758.70391313481,52038.531867377715,506.4320211586884,15106.7316542269,33525.80252207813,64267.342769361334,378497.2163277152
Project 348,144.0,58760.030884420994,62081.74572733926,750.3003892449269,15277.669786886647,39600.944007849,78753.82659563723,309392.2345888948
Project 349,144.0,48654.49122711923,50737.859344831675,597.938130726786,12587.399392859741,32214.774327352767,64013.96160178045,285843.89293450245
Project 350,144.0,55857.441393839275,47710.29747225306,61.561660900746034,17735.39382230455,40634.98230265059,80834.89225120633,233941.21323803483
Project 351,144.0,55446.3327494982,50062.752157801115,510.4969421210363,15129.206952877605,42113.240807474576,85164.46578293083,282943.6054961493
Project 352,144.0,46403.37209094298,48593.17388912031,1.0880042088172408,10736.932537671022,33399.976890101316,64668.91440570353,352166.76803811017
Project 353,144.0,52271.02878576692,52575.213972923346,834.8231358200528,16002.458899873964,34514.05045089508,63265.22409033993,289454.1015416124
Project 354,144.0,53101.26281817558,51145.49185136469,198.13744114289173,13222.23693761504,40992.93771187711,78096.97918647097,308930.1257805694
Project 355,144.0,49769.88895501158,51797.587812764716,44.694869423763244,15278.955354872483,35702.480055226624,68188.8265532416,385486.94646047376
Project 356,144.0,50121.086666191644,57565.41924323236,230.19445191256375,10473.535002783003,29075.59597576225,70159.31747836765,325781.9796829755
Project 357,144.0,47750.15008238734,45999.03043531551,27.644416764740214,14556.342008089881,33263.48955086125,68687.20224144409,242782.86656709833
Project 358,144.0,52979.339059449914,50162.2569907779,458.2936973140119,15051.877953628287,34480.97055377984,77024.92163531356,295118.1291070443
Project 359,144.0,54201.50162788171,52259.50762568991,281.66884495576716,18256.20700214003,39404.250587169285,77539.51072272591,287654.7416864633
Project 360,144.0,46208.36548886185,41370.54980016293,245.72676485299547,14492.198878594281,37173.78357950607,64310.331513708785,239788.55087821494
Project 361,144.0,42768.618802874655,44190.577708617355,403.30154636374124,12115.282884176988,30514.696330705247,59533.68268395101,238581.2280219561
Project 362,144.0,55254.84407165728,61883.15346085592,375.2650727627628,12827.980558437912,30939.491966707286,76789.65277476549,360962.3574469544
Project 363,144.0,55318.447101028025,48691.73784723675,354.60398329707107,15868.345272227374,45064.11278228739,77276.25526901065,233797.76537570168
Project 364,144.0,57101.13100331925,49101.13320768411,787.9631920257124,19035.814521879965,45769.0409086879,79816.14994716109,231020.30743089467
Project 365,144.0,47076.42123780128,47614.26448620909,33.24221139122374,12275.789062714022,35281.8332433304,59780.51122025713,295773.94287240703
Project 366,144.0,53439.75755212762,46811.375650901085,308.71227220269344,15594.512230804008,41203.23832263332,79542.03339651495,208551.8102393112
Project 367,144.0,46268.155522752524,48403.535881097676,666.300422688844,11485.016906391782,26814.61052940307,63979.38192986748,240117.82769416142
Project 368,144.0,49061.930421147496,47234.15706310274,126.57287644420705,16395.333968748677,31942.36978691124,68538.50834646673,276924.52760425705
Project 369,144.0,49171.915777771166,43928.155376290655,395.99623643376833,18824.84088374312,34399.80655385186,68488.01644875311,201320.4918718942
Project 370,144.0,48799.85314214838,57659.9215291613,177.60316130314717,10185.833867822426,29155.80510090207,63554.10337109801,340908.6042803438
Project 371,144.0,49380.16882613028,46662.93707442854,102.91245990708637,16656.15630928552,34169.41832066768,71798.64049111193,245693.80416408717
Project 372,144.0,52128.23725752106,47160.907478455854,212.78735289121292,14587.176995286467,37468.65368366797,76589.07919990664,245108.9984079356
Project 373,144.0,46059.66971795739,47048.543888227636,47.89340248803904,13874.836346445816,29483.703141016776,60872.58247823914,255076.24947425432
Project 374,144.0,48296.91851401233,44952.68036123978,663.1398165334538,15095.964156150938,39415.46359289294,68366.9319435179,259382.8940939821
Project 375,144.0,51724.87012439899,52783.91155939246,246.45069970295728,16192.35676993437,34743.34310098343,70725.57034167479,299948.1995541268
Project 376,144.0,47186.881484754005,45176.29209804304,190.37634311756636,12734.08733260275,30576.04197990059,72169.99890327986,238639.2690278699
Project 377,144.0,41148.64195496179,42056.881495476744,83.28802940180378,12496.299264138095,25914.40445585949,56402.19281388575,277654.6752050373
Project 378,144.0,50308.40473635773,49251.11649584391,646.6951121294614,13900.361883220576,34166.83363988869,69644.05849976656,215482.87621862403
Project 379,144.0,48106.51845639709,48822.10759040582,73.69000717857638,13043.017378644043,34274.36236524539,65080.30375389479,243705.8598509909
Project 380,144.0,52833.49015263777,55568.46261775042,265.20433012048653,12207.672041640768,35323.944475364944,70647.12693386097,280614.35769314464
Project 381,144.0,49604.737081682164,43099.174131786895,34.47962197110934,15506.079815315305,37911.51071524742,72915.88092671758,216852.50476936472
Project 382,144.0,53499.520236355354,53667.21429159856,241.82859194167872,12262.557176616541,37888.250806345364,74774.26304011012,273811.8972328896
Project 383,144.0,52899.64464568697,48047.1981225392,174.56729317392703,16605.53772158051,41642.86908766808,87697.21235873336,263353.2149931757
Project 384,144.0,51131.28610556181,56837.21868252251,111.3642204234045,17432.6676610878,33801.25040340668,71449.13242347188,468586.3750962245
Project 385,144.0,50615.23984132966,55160.81431682529,6.462713908139616,11747.416881153125,34255.323324446006,64866.767107489315,309558.81322324736
Project 386,144.0,47504.642836563726,53638.72029121818,194.6727369298228,12253.559501478318,27596.81464750642,66964.6305900948,249762.421539423
Project 387,144.0,54816.283830139946,54481.08287230448,351.3118170810509,17703.436531800024,35887.15020209183,75239.87988834886,353463.88579948485
Project 388,144.0,51492.346667656224,46624.404067064206,0.34381979381571026,18313.8396784475,35343.952380651084,71653.23614315853,241899.35714994298
Project 389,144.0,54718.51794994977,51376.569992486,226.94741652039596,18418.993098858795,38202.87907015829,77376.71612636985,277571.9202299623
Project 390,144.0,51594.04581214217,49049.592346152465,800.505102319751,17795.365402411077,35965.36129593471,75736.37868222436,317993.1854199408
Project 391,144.0,48089.652981698666,49910.70065347268,75.57627413604486,15643.622508937078,30632.400497160314,61431.19229117615,267471.7394036618
Project 392,144.0,48392.77983448057,43702.76685245128,404.29117184633844,14618.25149442144,35551.916996382184,69118.16523351982,207624.9286133703
Project 393,144.0,46758.62954587734,44501.94555523521,150.23838096858626,16360.806106645265,29332.613792605145,64165.888945310486,250581.44536518678
Project 394,144.0,50341.57942779372,41743.123983607824,528.423393867128,16323.720975012358,43242.51130078542,72297.98422858148,208515.83877704374
Project 395,144.0,49004.499683500006,49618.897231291194,242.72583191429237,11363.15031120321,36331.47241731423,68248.56856937766,291743.6605946326
Project 396,144.0,46533.787160006206,48512.24811140332,433.7266679576431,12843.853261093216,30931.831576636556,61586.007526955866,278263.91476322507
Project 397,144.0,46534.977562360815,44304.56895092756,103.12022833931326,13888.351212343816,35272.31530918068,63990.57847345277,246974.2819536052
Project 398,144.0,47549.77853962559,49683.50246854087,402.34933523019646,12244.227697841981,32044.022607726944,64259.890436674395,258808.5148112699
Project 399,144.0,52775.77897620129,49864.77291105795,153.6786638861654,14718.17704213488,37826.67258624006,74463.14847126357,246338.45332166197
Project 400,144.0,52705.44540995124,47147.73966460013,547.6990146971474,18416.68970521465,39260.968543254305,76166.4368652582,310639.6660857219
Project 401,144.0,54323.943376564814,61833.844902272824,533.9504296818474,13242.716392737626,37503.10478490672,74498.44887640185,439689.5352483681
Project 402,144.0,52886.34323340357,52557.755104847536,121.47647164473052,16556.898794495493,38315.06341133738,75409.21804120371,361886.69575074065
Project 403,144.0,45514.28172298115,45352.20960963265,467.94463926677577,11419.438930498281,31105.945704096586,67256.89490284548,230257.8812821574
Project 404,144.0,52083.990067931125,48725.15392463226,179.70009700382076,14802.674332648648,34815.67180966765,76510.41165624688,242501.45998160596
Project 405,144.0,55124.86761092958,50745.53450762256,23.6351487321999,14670.796584892953,40069.83252739388,77722.79148875606,234047.28499485235
Project 406,144.0,53288.7789463301,46822.390723974575,625.5903781816879,13218.363763081643,39551.830940977205,82659.19057909075,182889.61419112803
Project 407,144.0,51972.59917039885,57844.561122547995,695.818055493535,14899.015365488924,35843.08550205386,71084.27105200024,367351.0985212665
Project 408,144.0,55447.40130556006,53681.81871052561,86.94241404210301,14989.258959530534,33408.88884812349,82898.16767538944,245571.2618040698
Project 409,144.0,49479.8638635013,47163.245721127474,1.3830022380507996,17218.12689912177,34874.24894037712,72160.80617950577,296539.1409727668
Project 410,144.0,47956.506520931674,43087.04492039206,341.4777257836685,16016.04408678995,35946.58725080584,69972.35071515554,192973.95662998263
Project 411,144.0,54531.48857641798,55112.45845112277,159.1534098796132,14722.999942175215,34735.78586535598,77361.83464087985,303810.7863154446
Project 412,144.0,43855.2174022906,38333.96914522732,85.88048354923687,13008.42488476594,32588.986097560773,62918.776665877136,196076.96839867716
Project 413,144.0,46708.64052786372,43710.22242660349,759.8419562701303,16740.03876486632,31335.21652694058,68268.20220779972,271692.02831893053
Project 414,144.0,53658.94972231937,51887.989790270956,370.6864108179057,18004.879635238205,33256.44614814148,78212.36612275535,251284.71859105185
Project 415,144.0,59257.94656277158,54793.39641433464,307.86672770878914,20536.6355977536,41479.0714934142,82596.29996313935,242870.9014863368
Project 416,144.0,52205.32421935489,52936.770016472256,146.20439788271256,15913.446821363246,36266.292469169726,68690.23778209841,336671.35123275715
Project 417,144.0,47033.02611376988,45026.2510221803,601.797087911013,11272.224723182873,32544.379990920683,71517.27202783461,236316.30539048318
Project 418,144.0,56437.43145781613,47812.390978140415,1106.5480559757136,18338.65071075452,48647.291466385665,82611.9844830312,256990.94161309354
Project 419,144.0,51898.23963838726,51992.12628759281,27.712356643998998,13975.374290569951,35458.591400419136,75042.78066154788,286224.1430856153
Project 420,144.0,44272.740409307444,45171.49382772795,39.37043358710123,11124.568113670275,29696.17947637231,65379.3397521411,218854.6715444413
Project 421,144.0,48866.78034709936,50980.004118243785,311.26388762026755,17379.402946398794,31979.586283422657,57551.276174344384,302497.1581535815
Project 422,144.0,53576.56619710319,54089.70183195882,47.10241947318607,13923.043401160252,34902.673082454516,75518.12042096295,228416.09507481847
Project 423,144.0,53399.12684115927,60032.45240324667,379.3733383914857,18011.991322486036,35587.45821724061,65862.8737056678,394915.89121295954
Project 424,144.0,53615.98824799327,64072.38400675235,309.45191531006384,13166.777495918528,32657.454322167112,68016.53686849642,455535.4232906886
Project 425,144.0,52937.03377900896,51857.476933145896,905.4538582046017,15979.4262959829,33567.96604200249,76699.06885165002,295329.6177433614
Project 426,144.0,45908.916998099085,42798.11375198047,290.0602926766335,14537.394978333261,33582.44260107414,67137.93133326607,205082.84028561055
Project 427,144.0,45629.74963700392,43813.39787910321,36.27291129232182,13974.276956005764,33638.91555537648,60283.175081443886,251037.18313128964
Project 428,144.0,53451.21320141653,51148.842232735966,174.0130142862688,17015.046840803905,37163.99960851737,76168.20189318387,241764.61040003586
Project 429,144.0,50654.12908739148,45570.018612085776,492.76603982674106,15529.356065554248,37018.45983114988,72036.9268050317,203354.62589726166
